ID,Address,Price,ARV,Equity_Percent,Opportunity_Score,Distress_Flags,Source,Link
lead_0,"4304 Porpoise Dr, Tampa, FL 33617",280000,308000,10,80,FSBO,Zillow,https://www.zillow.com/homedetails/4304-Porpoise-Dr-Tampa-FL-33617/44935217_zpid/
lead_1,"9502 Sun Dial Dr, Tampa, FL 33635",139000,152900,10,80,FSBO,Zillow,https://www.zillow.com/homedetails/9502-Sun-Dial-Dr-Tampa-FL-33635/2098877239_zpid/
lead_2,"3412 E Fern St, Tampa, FL 33610",380000,418000,10,80,FSBO,Zillow,https://www.zillow.com/homedetails/3412-E-Fern-St-Tampa-FL-33610/45084589_zpid/
lead_3,"9801 Pine Way, Tampa, FL 33635",120000,132000,10,80,FSBO,Zillow,https://www.zillow.com/homedetails/9801-Pine-Way-Tampa-FL-33635/2060710441_zpid/
lead_4,"9711 Linda Pl #D, Tampa, FL 33610",42000,46200,10,80,FSBO,Zillow,https://www.zillow.com/homedetails/9711-Linda-Pl-D-Tampa-FL-33610/458258873_zpid/
lead_5,"5510 Longboat Blvd, Tampa, FL 33615",1485000,1633500,10,80,FSBO,Zillow,https://www.zillow.com/homedetails/5510-Longboat-Blvd-Tampa-FL-33615/44877281_zpid/
lead_6,"2906 W North B St, Tampa, FL 33609",539000,592900,10,80,FSBO,Zillow,https://www.zillow.com/homedetails/2906-W-North-B-St-Tampa-FL-33609/45096123_zpid/
lead_7,"5100 Burchette Rd UNIT 4200, Tampa, FL 33647",250000,275000,10,80,FSBO,Zillow,https://www.zillow.com/homedetails/5100-Burchette-Rd-UNIT-4200-Tampa-FL-33647/44926551_zpid/
lead_8,"6921 N 16th St, Tampa, FL 33610",694000,763400,10,80,FSBO,Zillow,https://www.zillow.com/homedetails/6921-N-16th-St-Tampa-FL-33610/45082070_zpid/
lead_9,"237 Sunset Cir #237-SC, Tampa, FL 33613",85000,93500,10,80,FSBO,Zillow,https://www.zillow.com/homedetails/237-Sunset-Cir-237-SC-Tampa-FL-33613/449989832_zpid/
lead_10,"2303 N 47th St, Tampa, FL 33605",125000,162500,15,75,"Fixer Upper, TLC",Redfin,https://www.redfin.com/FL/Tampa/2303-N-47th-St-33605/home/47319893
lead_11,"7627 Dolonita Dr #7627, Tampa, FL 33615",175000,227500,15,75,"Fixer Upper, TLC",Redfin,https://www.redfin.com/FL/Tampa/7627-Dolonita-Dr-33615/unit-7627/home/54646234
lead_12,"7608 N Huntley Ave, Tampa, FL 33604",175000,227500,15,75,"Fixer Upper, TLC",Redfin,https://www.redfin.com/FL/Tampa/7608-N-Huntley-Ave-33604/home/47320793
lead_13,"4901 E Hanna Ave, Tampa, FL 33610",199000,258700,15,75,"Fixer Upper, TLC",Redfin,https://www.redfin.com/FL/Tampa/4901-E-Hanna-Ave-33610/home/47157424
