PIN,Address,City,Zip,SaleDate,SaleAmount,Grantee,Folio
U-01-27-17-001-000000-00008.1,Parcel U-01-27-17-001-000000-00008.1,Tampa,FL,2025-01-28,1167000.0,N/A,0000220000
U-01-27-17-001-000000-00008.2,Parcel U-01-27-17-001-000000-00008.2,Tampa,FL,2025-09-19,725000.0,N/A,0000220300
U-01-27-17-001-000000-00007.4,Parcel U-01-27-17-001-000000-00007.4,Tampa,FL,2025-08-25,675000.0,N/A,0000280300
U-01-27-17-001-000000-00010.2,Parcel U-01-27-17-001-000000-00010.2,Tampa,FL,2025-06-06,605000.0,N/A,0000300000
U-01-27-17-001-000000-00010.3,Parcel U-01-27-17-001-000000-00010.3,Tampa,FL,2025-05-16,570000.0,N/A,0000300100
U-01-27-17-ZZZ-000000-01770.0,Parcel U-01-27-17-ZZZ-000000-01770.0,Tampa,FL,2025-04-30,400000.0,N/A,0000570100
U-02-27-17-A54-000000-00002.0,Parcel U-02-27-17-A54-000000-00002.0,Tampa,FL,2025-10-30,2640000.0,N/A,0001730574
U-03-27-17-ZZZ-000000-04130.0,Parcel U-03-27-17-ZZZ-000000-04130.0,Tampa,FL,2025-11-06,1450000.0,N/A,0002930024
U-02-27-17-00A-000004-00010.0,Parcel U-02-27-17-00A-000004-00010.0,Tampa,FL,2025-07-28,485000.0,N/A,0003160244
U-02-27-17-00B-000001-00015.0,Parcel U-02-27-17-00B-000001-00015.0,Tampa,FL,2025-09-22,575000.0,N/A,0003160430
U-02-27-17-00B-000002-00024.0,Parcel U-02-27-17-00B-000002-00024.0,Tampa,FL,2025-10-17,560000.0,N/A,0003160490
U-02-27-17-00B-000002-00025.0,Parcel U-02-27-17-00B-000002-00025.0,Tampa,FL,2025-06-13,410000.0,N/A,0003160492
U-02-27-17-00B-000004-00008.0,Parcel U-02-27-17-00B-000004-00008.0,Tampa,FL,2025-11-26,390000.0,N/A,0003160544
U-07-27-17-001-000000-04920.0,Parcel U-07-27-17-001-000000-04920.0,Tampa,FL,2025-08-28,620000.0,N/A,0003650100
U-07-27-17-001-000000-04940.2,Parcel U-07-27-17-001-000000-04940.2,Tampa,FL,2025-07-30,925000.0,N/A,0003660050
U-07-27-17-001-000000-04950.0,Parcel U-07-27-17-001-000000-04950.0,Tampa,FL,2025-06-23,575000.0,N/A,0003665000
U-07-27-17-ZZZ-000000-04960.0,Parcel U-07-27-17-ZZZ-000000-04960.0,Tampa,FL,2025-03-10,752000.0,N/A,0003665010
U-07-27-17-001-000000-05050.0,Parcel U-07-27-17-001-000000-05050.0,Tampa,FL,2025-03-07,575000.0,N/A,0003710000
U-07-27-17-00D-000015-00018.0,Parcel U-07-27-17-00D-000015-00018.0,Tampa,FL,2025-10-03,475000.0,N/A,0003970100
U-07-27-17-00D-000015-00022.0,Parcel U-07-27-17-00D-000015-00022.0,Tampa,FL,2025-05-29,90000.0,N/A,0004220225
U-07-27-17-00D-000016-00005.0,Parcel U-07-27-17-00D-000016-00005.0,Tampa,FL,2025-10-23,555000.0,N/A,0004230000
U-18-27-17-00D-000024-00007.0,Parcel U-18-27-17-00D-000024-00007.0,Tampa,FL,2025-11-12,125000.0,N/A,0004480000
U-08-27-17-001-000000-05810.0,Parcel U-08-27-17-001-000000-05810.0,Tampa,FL,2025-10-21,5250000.0,N/A,0004760000
U-08-27-17-001-000000-05920.3,Parcel U-08-27-17-001-000000-05920.3,Tampa,FL,2025-02-25,752000.0,N/A,0004820100
U-09-27-17-001-000000-06340.0,Parcel U-09-27-17-001-000000-06340.0,Tampa,FL,2025-03-28,505000.0,N/A,0005170100
U-09-27-17-70Q-000000-00010.0,Parcel U-09-27-17-70Q-000000-00010.0,Tampa,FL,2025-06-27,329000.0,N/A,0005185318
U-10-27-17-00F-000000-0006A.2,Parcel U-10-27-17-00F-000000-0006A.2,Tampa,FL,2025-08-27,1130000.0,N/A,0006510075
U-10-27-17-00F-000000-00016.0,Parcel U-10-27-17-00F-000000-00016.0,Tampa,FL,2025-07-10,725000.0,N/A,0006620000
U-10-27-17-00G-000000-00002.0,Parcel U-10-27-17-00G-000000-00002.0,Tampa,FL,2025-03-31,800000.0,N/A,0006660000
U-10-27-17-00H-000000-00002.0,Parcel U-10-27-17-00H-000000-00002.0,Tampa,FL,2025-09-03,875000.0,N/A,0006771004
U-10-27-17-71D-000000-00017.0,Parcel U-10-27-17-71D-000000-00017.0,Tampa,FL,2025-07-21,5200000.0,N/A,0006771134
U-10-27-17-9ZF-000000-00001.0,Parcel U-10-27-17-9ZF-000000-00001.0,Tampa,FL,2025-10-21,2550000.0,N/A,0006771172
U-11-27-17-001-000000-07960.0,Parcel U-11-27-17-001-000000-07960.0,Tampa,FL,2025-10-07,1000000.0,N/A,0008110000
U-11-27-17-001-000000-08080.0,Parcel U-11-27-17-001-000000-08080.0,Tampa,FL,2025-03-25,592200.0,N/A,0008270000
U-11-27-17-ZZZ-000000-08240.0,Parcel U-11-27-17-ZZZ-000000-08240.0,Tampa,FL,2025-04-04,1250000.0,N/A,0008470200
U-11-27-17-00J-000000-00010.0,Parcel U-11-27-17-00J-000000-00010.0,Tampa,FL,2025-08-15,3700000.0,N/A,0008875068
U-11-27-17-00K-000000-00029.0,Parcel U-11-27-17-00K-000000-00029.0,Tampa,FL,2025-06-20,2100000.0,N/A,0008875220
U-11-27-17-00K-000000-00034.0,Parcel U-11-27-17-00K-000000-00034.0,Tampa,FL,2025-08-26,2175000.0,N/A,0008875230
U-12-27-17-00M-000002-00004.0,Parcel U-12-27-17-00M-000002-00004.0,Tampa,FL,2025-08-22,702000.0,N/A,0009015094
U-12-27-17-00M-000003-00015.0,Parcel U-12-27-17-00M-000003-00015.0,Tampa,FL,2025-07-03,720500.0,N/A,0009015112
U-12-27-17-5R8-000004-00041.0,Parcel U-12-27-17-5R8-000004-00041.0,Tampa,FL,2025-02-19,671000.0,N/A,0009015344
U-12-27-17-5ZO-000001-00039.0,Parcel U-12-27-17-5ZO-000001-00039.0,Tampa,FL,2025-04-25,925000.0,N/A,0009015410
U-12-27-17-5ZO-000002-00009.0,Parcel U-12-27-17-5ZO-000002-00009.0,Tampa,FL,2025-05-09,695000.0,N/A,0009015422
U-14-27-17-ZZZ-000000-09170.0,Parcel U-14-27-17-ZZZ-000000-09170.0,Tampa,FL,2025-10-21,150000.0,N/A,0009451000
U-14-27-17-ZZZ-000000-09170.0,Parcel U-14-27-17-ZZZ-000000-09170.0,Tampa,FL,2025-02-10,155000.0,N/A,0009451000
U-14-27-17-001-000000-09260.0,Parcel U-14-27-17-001-000000-09260.0,Tampa,FL,2025-12-01,423000.0,N/A,0009560000
U-14-27-17-001-000000-09290.0,Parcel U-14-27-17-001-000000-09290.0,Tampa,FL,2025-08-15,1025000.0,N/A,0009580000
U-14-27-17-00N-000001-00005.0,Parcel U-14-27-17-00N-000001-00005.0,Tampa,FL,2025-12-01,695000.0,N/A,0009875010
U-14-27-17-00N-000001-00006.0,Parcel U-14-27-17-00N-000001-00006.0,Tampa,FL,2025-03-31,615000.0,N/A,0009875012
U-14-27-17-00N-000002-00008.0,Parcel U-14-27-17-00N-000002-00008.0,Tampa,FL,2025-08-21,615000.0,N/A,0009875030
U-14-27-17-00O-000002-00004.0,Parcel U-14-27-17-00O-000002-00004.0,Tampa,FL,2025-04-16,605000.0,N/A,0009875084
U-14-27-17-00P-000000-00040.0,Parcel U-14-27-17-00P-000000-00040.0,Tampa,FL,2025-01-24,1050000.0,N/A,0009875280
U-16-27-17-ZZZ-000000-10210.0,Parcel U-16-27-17-ZZZ-000000-10210.0,Tampa,FL,2025-06-30,645000.0,N/A,0013250000
U-16-27-17-ZZZ-000000-10320.0,Parcel U-16-27-17-ZZZ-000000-10320.0,Tampa,FL,2025-07-08,460000.0,N/A,0013390000
U-16-27-17-ZZZ-000000-10520.0,Parcel U-16-27-17-ZZZ-000000-10520.0,Tampa,FL,2025-09-16,416000.0,N/A,0013420040
U-16-27-17-ZZZ-000000-10840.0,Parcel U-16-27-17-ZZZ-000000-10840.0,Tampa,FL,2025-02-14,705000.0,N/A,0013860000
U-16-27-17-00W-000002-00004.0,Parcel U-16-27-17-00W-000002-00004.0,Tampa,FL,2025-03-27,1125000.0,N/A,0014410348
U-16-27-17-00W-000002-00021.0,Parcel U-16-27-17-00W-000002-00021.0,Tampa,FL,2025-02-20,770000.0,N/A,0014410382
U-16-27-17-00W-000002-00026.0,Parcel U-16-27-17-00W-000002-00026.0,Tampa,FL,2025-06-05,745000.0,N/A,0014410392
U-16-27-17-00Z-000001-00009.0,Parcel U-16-27-17-00Z-000001-00009.0,Tampa,FL,2025-04-18,1850000.0,N/A,0014415018
U-17-27-17-001-000000-11860.0,Parcel U-17-27-17-001-000000-11860.0,Tampa,FL,2025-07-23,682000.0,N/A,0014700000
U-18-27-17-001-000000-13000.0,Parcel U-18-27-17-001-000000-13000.0,Tampa,FL,2025-07-02,3200000.0,N/A,0016331500
U-20-27-17-5YW-000000-00049.0,Parcel U-20-27-17-5YW-000000-00049.0,Tampa,FL,2025-06-26,1200000.0,N/A,0017040180
U-21-27-17-5W3-000000-32A00.0,Parcel U-21-27-17-5W3-000000-32A00.0,Tampa,FL,2025-04-02,2688000.0,N/A,0017500512
U-22-27-17-001-000000-14590.0,Parcel U-22-27-17-001-000000-14590.0,Tampa,FL,2025-11-04,600000.0,N/A,0017890000
U-22-27-17-ZZZ-000000-14850.0,Parcel U-22-27-17-ZZZ-000000-14850.0,Tampa,FL,2025-07-25,625000.0,N/A,0018190000
U-22-27-17-015-000000-00019.0,Parcel U-22-27-17-015-000000-00019.0,Tampa,FL,2025-04-07,650000.0,N/A,0020040000
U-22-27-17-01B-000000-00008.0,Parcel U-22-27-17-01B-000000-00008.0,Tampa,FL,2025-05-19,800000.0,N/A,0020830025
U-22-27-17-01B-000000-00007.1,Parcel U-22-27-17-01B-000000-00007.1,Tampa,FL,2025-07-28,839000.0,N/A,0020830050
U-22-27-17-01B-000000-00011.0,Parcel U-22-27-17-01B-000000-00011.0,Tampa,FL,2025-03-05,1533400.0,N/A,0020880000
U-22-27-17-01B-000000-00012.0,Parcel U-22-27-17-01B-000000-00012.0,Tampa,FL,2025-06-06,939900.0,N/A,0020890000
U-22-27-17-01D-000000-00001.0,Parcel U-22-27-17-01D-000000-00001.0,Tampa,FL,2025-11-07,2100000.0,N/A,0020980102
U-22-27-17-87A-000000-00005.0,Parcel U-22-27-17-87A-000000-00005.0,Tampa,FL,2025-03-11,499000.0,N/A,0020980410
U-23-27-17-001-000000-15910.0,Parcel U-23-27-17-001-000000-15910.0,Tampa,FL,2025-10-30,1550000.0,N/A,0021030020
U-23-27-17-001-000000-16240.0,Parcel U-23-27-17-001-000000-16240.0,Tampa,FL,2025-09-29,550000.0,N/A,0021390000
U-26-27-17-ZZZ-000000-16810.0,Parcel U-26-27-17-ZZZ-000000-16810.0,Tampa,FL,2025-09-16,2301000.0,N/A,0021830500
U-23-27-17-01J-000000-00001.0,Parcel U-23-27-17-01J-000000-00001.0,Tampa,FL,2025-05-15,839000.0,N/A,0021990000
U-23-27-17-01J-000000-00023.0,Parcel U-23-27-17-01J-000000-00023.0,Tampa,FL,2025-04-04,1650000.0,N/A,0022360000
U-23-27-17-01K-000000-00001.0,Parcel U-23-27-17-01K-000000-00001.0,Tampa,FL,2025-02-11,1800000.0,N/A,0022470502
U-23-27-17-01L-000001-00002.0,Parcel U-23-27-17-01L-000001-00002.0,Tampa,FL,2025-08-21,624000.0,N/A,0022475004
U-23-27-17-01L-000001-00004.0,Parcel U-23-27-17-01L-000001-00004.0,Tampa,FL,2025-08-07,793000.0,N/A,0022475008
U-23-27-17-01L-000001-00011.0,Parcel U-23-27-17-01L-000001-00011.0,Tampa,FL,2025-06-02,755000.0,N/A,0022475022
U-23-27-17-01L-000001-00025.0,Parcel U-23-27-17-01L-000001-00025.0,Tampa,FL,2025-06-09,725000.0,N/A,0022475050
U-23-27-17-5N1-000000-00004.0,Parcel U-23-27-17-5N1-000000-00004.0,Tampa,FL,2025-06-11,2575000.0,N/A,0022475608
U-23-27-17-77N-000000-00006.0,Parcel U-23-27-17-77N-000000-00006.0,Tampa,FL,2025-02-06,425000.0,N/A,0022476062
U-23-27-17-9OE-000000-00008.0,Parcel U-23-27-17-9OE-000000-00008.0,Tampa,FL,2025-09-04,1550000.0,N/A,0022477046
U-24-27-17-01N-000000-00009.0,Parcel U-24-27-17-01N-000000-00009.0,Tampa,FL,2025-02-26,700000.0,N/A,0022690118
U-24-27-17-01P-A00000-00014.0,Parcel U-24-27-17-01P-A00000-00014.0,Tampa,FL,2025-04-08,1150000.0,N/A,0022690428
U-24-27-17-01P-B00000-00001.0,Parcel U-24-27-17-01P-B00000-00001.0,Tampa,FL,2025-07-24,855000.0,N/A,0022690464
U-24-27-17-01P-B00000-00009.0,Parcel U-24-27-17-01P-B00000-00009.0,Tampa,FL,2025-11-19,875000.0,N/A,0022690480
U-24-27-17-01P-B00000-00014.0,Parcel U-24-27-17-01P-B00000-00014.0,Tampa,FL,2025-08-25,1281800.0,N/A,0022690490
U-24-27-17-01P-B00000-00014.0,Parcel U-24-27-17-01P-B00000-00014.0,Tampa,FL,2025-07-24,1281800.0,N/A,0022690490
U-24-27-17-01Q-D00000-00033.0,Parcel U-24-27-17-01Q-D00000-00033.0,Tampa,FL,2025-06-17,858000.0,N/A,0022690618
U-24-27-17-01Q-D00000-00034.0,Parcel U-24-27-17-01Q-D00000-00034.0,Tampa,FL,2025-04-17,950000.0,N/A,0022690620
U-24-27-17-01Q-E00000-00036.0,Parcel U-24-27-17-01Q-E00000-00036.0,Tampa,FL,2025-11-06,920000.0,N/A,0022690700
U-24-27-17-01Q-E00000-00053.0,Parcel U-24-27-17-01Q-E00000-00053.0,Tampa,FL,2025-06-06,1075000.0,N/A,0022690736
U-24-27-17-01Q-E00000-00055.0,Parcel U-24-27-17-01Q-E00000-00055.0,Tampa,FL,2025-08-08,875000.0,N/A,0022690740
U-24-27-17-01Q-G00000-00004.0,Parcel U-24-27-17-01Q-G00000-00004.0,Tampa,FL,2025-05-21,680000.0,N/A,0022690836
U-24-27-17-01R-I00000-00008.0,Parcel U-24-27-17-01R-I00000-00008.0,Tampa,FL,2025-07-31,645000.0,N/A,0022691016
U-24-27-17-01R-I00000-00019.0,Parcel U-24-27-17-01R-I00000-00019.0,Tampa,FL,2025-04-02,775000.0,N/A,0022691038
U-24-27-17-01R-I00000-00032.0,Parcel U-24-27-17-01R-I00000-00032.0,Tampa,FL,2025-02-26,730000.0,N/A,0022691064
U-25-27-17-ZZZ-000000-17130.0,Parcel U-25-27-17-ZZZ-000000-17130.0,Tampa,FL,2025-05-30,1900000.0,N/A,0022740000
U-25-27-17-001-000000-17380.0,Parcel U-25-27-17-001-000000-17380.0,Tampa,FL,2025-01-27,715000.0,N/A,0022754500
U-25-27-17-001-000000-17730.0,Parcel U-25-27-17-001-000000-17730.0,Tampa,FL,2025-08-15,1650000.0,N/A,0022970000
U-25-27-17-001-000000-17800.0,Parcel U-25-27-17-001-000000-17800.0,Tampa,FL,2025-07-31,1425000.0,N/A,0023040000
